,travel_1,comserexp_1,pop_1,real_gni_pc_1,real_travel_mil_1,rtrend_dev_travel_1,r1,arrivals_2,travel_2,comserexp_2,mega_past_2,pop_2,real_gni_pc_2,real_travel_mil_2,rtrend_dev_travel_2,r2,diff_gni
96,10.216097,3375978166.61869,8192.567,39584.45,1683.404,892.78955,1,3270000.0,18.52473,49342152409.1393,0.0,9045.728,46603.42,9422.221,1921.6919,1,7018.970000000001
97,,,7415.548,20736.709,,,0,4422000.0,76.44394,2649000000.0,0.0,19496.43,1740.087,2303.0564,367.28308,1,-18996.622
98,,,4180.224,1062.4678,,,0,16000.0,,,0.0,9987.027,467.98727,,,0,-594.4805299999998
99,37.196495,18640968.3861278,2253.811,970.1015,30.574896,-45.845276,1,94000.0,11.76664,174526154.392019,0.0,6302.157,374.96722,20.811556,6.6370525,1,-595.13428
100,51.106045,430339272.277432,42272.0,1259.286,865.48126,740.0699,1,13822000.0,54.36336,24635988365.4741,0.0,64724.42,2679.3462,13854.963,1427.6289,1,1420.0602
101,,,5703.966,3856.439,,,0,6550000.0,54.662792,4161905298.54811,0.0,10132.25,3112.1577,2329.0137,216.22241,1,-744.2812999999996
102,41.2731,487000000.0,41210.53,439539140.0,,,0,18916000.0,67.4174,24998000000.0,0.0,72935.32,7703.2725,18131.738,-613.9297,1,-439531436.7275
103,,,16258.315,,,,0,622000.0,64.77137,1467030461.90089,0.0,39477.0,403.19492,1035.4652,-56.79065,1,
104,,,10891.164,,,,0,539000.0,72.84849,474764825.250296,0.0,29874.37,364.73874,371.02405,21.933136,1,
105,,,48973.43,,,,0,18936000.0,32.20292,10822000000.0,0.0,46571.15,2393.6758,4277.928,841.91943,1,
106,,,2841.818,50578204.0,,,0,1749000.0,43.927925,1360780950.4943,0.0,3313.0,5993.8364,656.20746,374.63885,1,-50572210.1636
107,24.96017,18830000000.0,220165.0,21557.92,14813.19,4088.3516,1,50978000.0,26.142883,408661892000.0,1.0,298988.1,46082.45,109673.97,-14224.945,1,24524.53
108,50.847458,354000000.0,12674.987,3687220.8,,,0,748000.0,52.280464,1469000000.0,0.0,27020.92,6978.6953,875.7579,50.127747,1,-3680242.1047
109,,,7934.497,,,,0,382000.0,38.632397,467742140.49,0.0,21634.13,854.2296,200.46661,25.962143,1,
110,62.91772,1439662135.90582,25815.145,44882.438,30567.39,9304.871,1,8396000.0,67.24469,11712123476.7738,0.0,47390.9,5907.2827,8583.85,6244.87,1,-38975.1553
111,,,4923.73,8277820.5,,,0,757000.0,48.224464,228100000.0,0.0,11862.04,670.79926,122.979866,-7.1043625,1,-8277149.70074
