,travel_1,comserexp_1,pop_1,real_gni_pc_1,real_travel_mil_1,rtrend_dev_travel_1,arrivals_2,travel_2,comserexp_2,pop_2,real_gni_pc_2,real_travel_mil_2,rtrend_dev_travel_2,diff_gni,mega_past_2,r1,r2
0,,,-0.29885796986151925,,,,-0.5489519405705058,1.2374786030753795,-0.43455439281274444,-0.30782260482838153,-0.4632231584469766,-0.41445393590918156,-0.17573989757830438,,0.0,0,1
1,,,-0.07590712923854286,0.05596624727823736,,,-0.22743172268774003,0.053124906091237066,-0.31704367095357355,-0.08810567181749328,-0.28631931734650434,-0.2226558164180751,-0.3050809583798248,-0.05596624730125045,1.0,0,1
2,,,-0.29478107757889915,,,,-0.5238588236387363,0.7171353033863072,-0.4530534459101038,-0.30861828357448295,-0.5320333920135158,-0.4671266660821904,-0.20571434973256356,,0.0,0,1
3,-0.6766081744397535,-0.15814800410502566,-0.19319135939165807,-0.11184578616196966,-0.38163514073471577,0.16994462227482557,-0.15778073456871639,0.6282233038971219,0.13474291861911408,-0.20167692417106378,1.5477572310001866,0.8049739662716247,0.04433949043872269,0.111845786239538,1.0,1,1
4,2.152459284126779,0.24190777254370016,-0.25010982314470426,-0.11184578623413935,0.02025447269124481,-0.6883924107504859,1.03019464864655,-0.23749813074621393,0.3781616786145199,-0.2766658723972943,1.900899890291028,0.681097294266549,-0.20481658503424957,0.11184578633116907,1.0,1,1
5,,,-0.26783596490280115,,,,-0.48305319423567195,-1.2571096944182847,-0.44631611708231356,-0.2752347583079058,-0.5139302115922306,-0.47686016316471397,-0.210198862225708,,0.0,0,1
6,,,-0.28696715956850133,-0.11184578626844922,,,-0.5379297303294481,-0.8167878174685832,-0.46168844808207815,-0.2791502832324314,-0.6516791482224821,-0.48654384147339014,-0.2131000759387775,0.11184578622480867,0.0,0,1
7,-0.8629536143931841,0.521426981376977,-0.22919194475612778,-0.11184578621872762,-0.3603712056998406,-0.16352511451386226,-0.006831174458913176,-1.068019996927704,0.5902726373812667,-0.2629534323151514,1.8461996237587703,0.23789539289082662,-0.08067923228389678,0.11184578631274286,0.0,1,1
8,-1.1880120062655082,-0.5653020334167377,-0.2932608716800141,-0.11184578627041239,-0.5586163959686269,-0.3501275090874829,-0.5395713361100312,0.8174089557203625,-0.45817759076429293,-0.27389830768968415,-0.6219848679840216,-0.47837319878112217,-0.2177559386234321,0.11184578622840828,0.0,1,1
9,0.23047779800437163,-0.5692551106513911,-0.26310287662751064,-0.11184578627203705,-0.5591017077716781,-0.3492046248525031,-0.533004912987699,,,-0.24401963897678008,-0.6315581321314818,,,0.11184578622950538,0.0,1,0
